år,uge,lottotal,tillægstal,6rigtige,5+rigtige,5rigtige,4rigtige,3rigtige
2005,1,7 11 21 26 34 41,4 43,32401734,90293,3038,92,32
2005,2,4 26 35 37 45 48,7 40,0,0,4968,158,42
2005,3,3 4 7 32 36 45,5 30,8184480,85078,3940,115,37
2005,4,17 27 34 35 37 46,30 39,0,118851,2646,108,35
2005,5,12 14 24 31 32 36,28 48,4162732,73112,3802,115,37
2005,6,6 13 16 25 35 47,9 48,4834861,52585,3300,118,37
2005,7,2 13 24 33 38 45,29 41,2414280,116403,3521,121,38
2005,8,1 22 23 40 41 47,26 30,3683979,68598,2857,122,37
2005,9,4 14 16 18 19 28,15 43,743281,72229,2679,89,31
2005,10,4 13 28 37 38 42,22 36,3626854,179101,4805,120,39
2005,11,3 4 5 16 22 37,1 12,4043650,96676,3481,109,35
2005,12,2 27 29 31 32 44,22 30,1302635,369462,3678,116,37
2005,13,6 17 32 33 43 44,14 37,1697729,326183,3555,128,39
2005,14,2 6 10 11 24 30,22 37,1780792,42923,1936,90,32
2005,15,17 19 22 35 46 48,8 39,1162232,82722,3218,118,37
2005,16,11 12 16 19 26 28,6 48,1178831,54317,2201,93,31
2005,17,3 4 12 16 26 34,11 25,3422739,54331,2336,88,31
2005,18,6 18 21 23 25 42,22 27,1820571,62772,3658,111,36
2005,19,2 4 6 27 35 48,21 42,0,48896,3583,108,34
2005,20,2 11 17 19 23 27,14 47,1925740,101563,2436,79,29
2005,21,2 6 13 20 26 44,7 16,0,57380,3268,108,35
2005,22,6 8 10 29 36 47,20 45,7831134,145601,4567,119,36
2005,23,6 13 21 32 39 44,9 10,0,72342,3557,111,36
2005,24,2 22 23 24 29 44,6 12,4032310,212796,3539,111,35
2005,25,2 3 23 30 32 45,17 47,3780501,121504,3816,117,37
2005,26,11 27 28 40 42 47,1 12,1292669,79035,3792,110,36
2005,27,19 23 24 28 39 48,33 45,3773080,54010,3426,115,36
2005,28,20 30 33 36 38 46,15 43,0,98994,4196,120,39
2005,29,1 6 21 39 43 47,5 8,4204302,115988,3071,112,37
2005,30,16 17 21 36 40 46,34 45,0,137327,3498,111,36
2005,31,9 15 16 32 41 45,38 48,8815238,249084,3119,107,35
2005,32,9 20 27 28 36 42,2 24,0,36522,3942,111,35
2005,33,3 21 22 24 36 39,45 48,38482709,81959,3705,113,35
2005,34,1 4 5 29 34 38,31 46,3718396,343918,3557,116,35
2005,35,2 21 23 40 44 46,19 32,3684636,115385,3365,116,36
2005,36,11 15 23 32 38 48,3 31,0,41831,3964,118,37
2005,37,15 18 22 30 35 42,24 41,3924993,98672,3124,114,37
2005,38,15 16 19 37 41 44,39 46,1839508,0,5955,154,40
2005,39,1 13 21 25 26 33,12 28,5039588,110507,2708,100,33
2005,40,5 12 21 28 46 47,38 44,3601267,336920,3485,115,36
2005,41,5 7 25 35 43 44,4 24,1787632,47008,4273,127,39
2005,42,2 6 12 19 28 42,31 32,0,53353,2752,102,34
2005,43,4 30 31 37 38 48,12 14,7586551,375954,4206,134,42
2005,44,12 14 28 42 45 47,23 33,0,87648,4035,121,38
2005,45,11 13 20 27 32 38,1 12,3951632,396956,3408,107,34
2005,46,13 15 25 40 42 44,33 39,3695653,169436,3505,122,38
2005,47,4 5 11 19 27 32,21 44,909511,40854,2362,91,31
2005,48,12 16 19 22 25 36,11 32,3625426,55804,3462,109,35
2005,49,6 23 30 37 39 45,8 9,3582465,341222,3985,128,40
2005,50,2 9 17 21 24 27,39 46,3104660,48685,2576,75,29
2005,51,6 13 15 20 30 35,2 17,4663673,161640,3777,105,35
2005,52,6 9 26 29 40 41,30 32,0,82123,3638,113,35
2006,1,17 19 22 38 41 44,18 31,4119692,390385,3933,114,37
2006,2,19 22 23 37 38 40,13 42,2353282,47198,4032,119,38
2006,3,3 9 18 24 28 32,6 31,4587726,314980,2654,93,33
2006,4,2 4 7 18 21 34,33 38,1785802,103193,2280,90,32
2006,5,5 12 17 28 31 43,34 36,0,47111,3965,114,36
2006,6,7 10 17 32 35 47,21 22,7631144,73585,4173,116,36
2006,7,7 20 23 25 26 43,6 9,3587730,163311,3379,118,36
2006,8,4 20 27 42 43 47,29 35,3563796,80422,4465,130,39
2006,9,7 20 25 28 29 48,27 38,1800141,37694,3220,116,35
2006,10,1 3 20 22 37 43,7 47,0,168076,4587,129,38
2006,11,22 34 35 39 44 46,11 21,8152772,80757,3399,105,36
2006,12,1 8 12 16 18 44,27 46,3687023,67068,3512,112,36
2006,13,17 18 33 34 41 47,15 39,3589041,66524,3354,117,37
2006,14,1 9 15 29 31 37,27 30,3641200,114187,3634,115,36
2006,15,8 13 16 28 33 37,17 39,0,352479,4057,108,35
2006,16,2 5 22 42 47 48,26 46,0,167196,5274,119,37
2006,17,1 24 33 36 42 47,9 23,4105013,233444,3620,126,39
2006,18,17 26 30 35 38 48,12 24,3628347,52208,3313,117,38
2006,19,16 18 23 32 41 43,26 46,0,172413,3274,118,37
2006,20,13 17 28 39 45 46,30 42,0,114016,2743,103,38
2006,21,1 13 19 38 39 41,24 40,6040228,137092,3611,117,41
2006,22,1 3 18 29 33 46,11 30,0,171993,3809,109,39
2006,23,9 10 16 19 25 40,18 34,11074551,123979,2659,101,37
2006,24,7 16 19 27 36 48,34 38,0,82025,3690,113,39
2006,25,12 13 22 33 38 45,5 10,3826154,54792,3328,107,39
2006,26,12 17 21 23 25 39,33 37,1822266,57040,2838,102,37
2006,27,1 8 26 33 44 46,24 43,1223983,67432,3239,116,41
2006,28,2 4 21 44 46 48,16 40,15480782,110629,3515,118,41
2006,29,1 9 24 25 35 36,3 23,1679782,137454,3879,109,41
2006,30,7 25 37 40 44 46,6 39,1651766,136428,3224,121,44
2006,31,1 20 21 41 44 45,9 19,0,72806,4188,119,42
2006,32,6 18 20 26 30 31,13 37,0,64503,2738,110,39
2006,33,1 5 7 35 43 47,6 34,9349024,68349,2934,117,41
2006,34,3 6 13 20 26 46,7 47,5211736,97375,2637,104,39
2006,35,5 22 23 27 37 38,2 42,1755607,58257,4550,111,40
2006,36,6 22 23 33 35 37,3 41,3514731,150354,4006,114,40
2006,37,7 9 10 23 39 40,20 44,0,286920,3043,105,37
2006,38,13 16 23 34 36 39,35 47,3727823,108322,3963,110,40
2006,39,7 19 28 29 30 35,25 42,1766581,71799,3284,105,38
2006,40,1 12 19 28 29 32,24 37,0,150942,3346,103,38
